occupation,age,gender,education,years_of_experience,current_salary,salary_10_years,salary_growth,growth_percentage
Designer,53,Male,Master,0,99503,155414,55911,56.19026562013205
Data Scientist,53,Female,High School,5,94519,163801,69282,73.2995482389784
DevOps Engineer,38,Other,Master,5,141360,316679,175319,124.02306168647425
DevOps Engineer,43,Female,Bachelor,10,143160,281617,138457,96.71486448728696
Software Engineer,27,Other,High School,4,129860,267148,137288,105.72000616048052
DevOps Engineer,24,Female,Master,2,145602,352358,206756,142.00079669235313
Business Analyst,54,Male,PhD,17,137596,241147,103551,75.25727492078258
Consultant,44,Female,High School,9,92484,152087,59603,64.44682323428917
Consultant,23,Male,PhD,0,129594,304272,174678,134.78864762257513
Product Manager,30,Other,High School,8,100407,171916,71509,71.21913810790085
Data Engineer,54,Female,PhD,23,227808,570712,342904,150.52324764714143
Software Engineer,61,Female,PhD,19,220124,584584,364460,165.57031491341243
Consultant,50,Male,Master,17,142397,285396,142999,100.42276171548559
Data Scientist,56,Female,Bachelor,15,152270,289883,137613,90.37433506271753
DevOps Engineer,35,Male,High School,4,94493,168426,73933,78.24177452298053
Project Manager,24,Other,PhD,0,114239,233812,119573,104.66915851854446
Data Engineer,43,Other,Bachelor,13,147504,304010,156506,106.10288534548215
Designer,29,Other,High School,2,81569,117757,36188,44.364893525726686
Product Manager,49,Male,Bachelor,14,134198,251908,117710,87.71367680591365
Product Manager,40,Male,PhD,3,135960,315284,179324,131.89467490438363
Software Engineer,65,Male,PhD,27,219518,582975,363457,165.57047713627128
Product Manager,62,Other,Bachelor,36,160276,291803,131527,82.06281664129376
Software Engineer,52,Male,Bachelor,2,129949,270330,140381,108.02776473847433
DevOps Engineer,42,Male,Master,0,127166,284881,157715,124.02293065756571
Data Scientist,52,Female,High School,21,132285,229249,96964,73.29931587103601
Project Manager,53,Female,Bachelor,14,108950,173287,64337,59.051858650757225
Data Scientist,63,Other,Master,1,123368,265849,142481,115.4926723299397
Project Manager,64,Male,High School,38,92280,137090,44810,48.558734286952756
Business Analyst,46,Other,Bachelor,23,114896,178429,63533,55.29609385879404
Business Analyst,41,Male,High School,0,58279,84826,26547,45.55157089174488
Data Engineer,49,Other,Master,1,129329,306168,176839,136.73576692002567
Business Analyst,46,Female,Master,21,131322,222199,90877,69.20165699578136
Designer,27,Female,High School,5,89831,129684,39853,44.36441762865826
Product Manager,65,Male,High School,4,90787,151423,60636,66.7892980272506
Designer,56,Female,High School,15,99674,136974,37300,37.42199570600157
Data Engineer,40,Other,High School,4,98905,183490,84585,85.52145998685607
Business Analyst,33,Male,Master,4,88611,149931,61320,69.20134069133628
Software Engineer,53,Female,Master,29,185251,443408,258157,139.35525314303297
Consultant,22,Male,PhD,0,153909,361361,207452,134.78873880020012
Business Analyst,26,Other,PhD,4,118350,225995,107645,90.9547950992818
Data Engineer,50,Female,High School,13,115371,214038,98667,85.52149153600125
Software Engineer,26,Female,Bachelor,3,128936,299683,170747,132.42771607619284
Product Manager,51,Male,Master,4,126651,258854,132203,104.38370008922155
Designer,52,Female,High School,9,84691,116384,31693,37.42192204602614
Software Engineer,25,Male,PhD,3,172668,530562,357894,207.2729168114532
Business Analyst,49,Male,Bachelor,26,113705,176580,62875,55.29660085308473
Data Scientist,54,Male,Master,11,149503,322168,172665,115.49266569901609
Software Engineer,64,Female,PhD,28,206578,548610,342032,165.57038987694722
Data Scientist,56,Other,High School,22,114501,198429,83928,73.29892315350958
Project Manager,31,Female,High School,9,79235,120137,40902,51.62112702719758
Data Engineer,25,Other,High School,1,113990,224497,110507,96.94446881305377
Project Manager,42,Male,PhD,3,107094,205799,98705,92.16669467944048
Consultant,56,Other,PhD,17,155099,325510,170411,109.87240407739574
Project Manager,53,Female,Master,4,95212,165745,70533,74.07994790572617
Business Analyst,46,Other,High School,2,61037,88840,27803,45.551059193603884
Software Engineer,41,Female,High School,15,132266,255364,123098,93.0685134501686
Data Engineer,62,Male,High School,18,115969,208787,92818,80.03690641464529
Business Analyst,52,Female,PhD,19,137381,240770,103389,75.25713162664415
Product Manager,33,Other,High School,8,104641,179165,74524,71.21873835303562
Product Manager,44,Male,PhD,15,194948,452074,257126,131.89465908857747
Product Manager,60,Female,Bachelor,13,129467,235712,106245,82.0633829470058
Product Manager,50,Other,Master,10,157424,333624,176200,111.92702510417725
Consultant,65,Female,Bachelor,16,111818,194653,82835,74.08020175642562
Business Analyst,61,Male,Bachelor,8,87970,133701,45731,51.98476753438672
Data Scientist,58,Male,High School,18,122765,212751,89986,73.2993931495133
Software Engineer,28,Male,Bachelor,0,134425,312441,178016,132.4277478147666
DevOps Engineer,40,Other,Bachelor,11,135767,267074,131307,96.71496018914758
Data Engineer,24,Female,Master,0,139703,359072,219369,157.02526073169508
DevOps Engineer,62,Male,PhD,38,220544,521031,300487,136.24809561810795
Consultant,46,Male,Master,23,162225,325136,162911,100.42286947141316
Product Manager,65,Female,Bachelor,31,149696,272541,122845,82.06298097477554
Product Manager,42,Female,PhD,10,188045,436066,248021,131.89449333936025
DevOps Engineer,41,Other,Master,17,165072,369799,204727,124.02285063487449
Software Engineer,52,Other,Bachelor,0,116908,243201,126293,108.02767988503781
Designer,32,Other,Master,9,131202,209678,78476,59.81311260499078
Project Manager,29,Male,Bachelor,1,84161,143759,59598,70.8142726440988
Project Manager,49,Female,Bachelor,27,113825,185408,71583,62.88864484954975
DevOps Engineer,38,Other,PhD,8,165697,408763,243066,146.69306022438548
DevOps Engineer,34,Male,High School,2,103512,184501,80989,78.24117010588144
Data Scientist,46,Male,Master,1,123404,276453,153049,124.0227221159768
Data Scientist,26,Male,Master,0,153261,370892,217631,142.0002479430514
Data Scientist,32,Other,PhD,4,168385,415394,247009,146.69299521928914
Consultant,48,Other,Bachelor,16,133885,239767,105882,79.08428875527504
Data Scientist,22,Other,High School,0,92846,175022,82176,88.50785171143613
Business Analyst,26,Male,Bachelor,4,97950,158792,60842,62.11536498213375
Product Manager,58,Male,Master,9,151123,308871,157748,104.38384627091838
Software Engineer,30,Female,High School,0,113487,219108,105621,93.06880964339528
DevOps Engineer,61,Male,Bachelor,31,138268,263226,124958,90.37376688749386
Project Manager,55,Female,Master,2,97134,169091,71957,74.08013671834784
Software Engineer,51,Male,Bachelor,29,174344,362685,188341,108.02838067269307
Software Engineer,44,Other,PhD,14,219165,611179,392014,178.8670636278603
Data Scientist,60,Other,Master,37,190586,410699,220113,115.49274343341065
Data Scientist,55,Female,Bachelor,17,139751,266050,126299,90.37430859170954
Data Engineer,59,Female,Master,32,206309,468615,262306,127.14229626434135
Business Analyst,38,Other,Bachelor,4,85802,133247,47445,55.29591384816205
Project Manager,38,Female,High School,4,82099,124479,42380,51.62060439225813
Product Manager,64,Male,Bachelor,10,109546,199443,89897,82.06324283862487
Consultant,37,Other,Master,14,143010,286625,143615,100.42304733934691
Project Manager,24,Male,PhD,2,123928,253643,129715,104.66964689174358
Data Scientist,40,Female,High School,4,99807,177897,78090,78.24100513992005
Designer,22,Female,High School,0,81622,117833,36211,44.364264536522015
Data Scientist,47,Female,High School,12,114038,203263,89225,78.2414633718585
Consultant,43,Male,Master,14,146260,293138,146878,100.4225352112676
Software Engineer,29,Male,Bachelor,0,134568,312774,178206,132.4282147315855
DevOps Engineer,43,Other,Master,13,170253,381406,211153,124.02307154646321
Business Analyst,47,Female,Bachelor,13,89599,139144,49545,55.296376075625844
Data Engineer,44,Other,Master,13,182560,432185,249625,136.73586765994742
Data Scientist,56,Female,Bachelor,14,125653,239211,113558,90.37428473653634
Business Analyst,60,Female,High School,16,76835,109792,32957,42.89321272857421
Consultant,41,Male,High School,3,83114,136678,53564,64.4464229852973
Consultant,57,Female,High School,21,111845,179512,67667,60.500692923241985
Project Manager,65,Male,PhD,18,136152,253483,117331,86.1764792290969
Product Manager,55,Female,Bachelor,5,114286,208073,93787,82.0634198414504
Software Engineer,42,Female,High School,5,111362,215005,103643,93.06855121136473
DevOps Engineer,51,Other,Bachelor,23,159600,303837,144237,90.37406015037594
Business Analyst,52,Other,Master,7,101309,167076,65767,64.91723341460285
Project Manager,23,Female,Master,1,120181,227723,107542,89.48336259475292
DevOps Engineer,51,Female,Master,23,189057,407404,218347,115.49268210116526
Consultant,32,Other,Bachelor,7,107793,193040,85247,79.08398504541111
Product Manager,25,Female,Bachelor,2,115158,229729,114571,99.49026554820334
DevOps Engineer,22,Other,High School,0,105125,198169,93044,88.50796670630203
Designer,32,Female,High School,3,75313,105214,29901,39.702309030313494
Data Engineer,31,Female,High School,4,98277,182325,84048,85.5215360664245
Data Scientist,41,Female,High School,0,88480,157708,69228,78.24141048824593
Consultant,32,Male,High School,7,94008,154593,60585,64.44664283890734
Data Engineer,26,Other,Bachelor,3,146561,323815,177254,120.94213330967993
Product Manager,30,Other,PhD,1,135367,313908,178541,131.89403621266632
Data Engineer,50,Female,High School,7,121117,224698,103581,85.52143794843003
Product Manager,56,Female,Bachelor,20,133509,243071,109562,82.06338149488049
Data Engineer,47,Female,Master,3,143720,340237,196517,136.7360144725856
Consultant,61,Other,Bachelor,13,122804,213777,90973,74.07983453307709
Designer,36,Other,High School,0,68380,95528,27148,39.70166715413864
Software Engineer,23,Other,Master,1,147563,402677,255114,172.88480174569506
Project Manager,27,Other,Master,5,112275,212742,100467,89.48296593186372
Data Engineer,36,Female,PhD,14,207561,544508,336947,162.3363734034814
DevOps Engineer,48,Other,Bachelor,3,128206,252200,123994,96.71466234029609
Consultant,58,Male,High School,26,115050,184656,69606,60.5006518904824
DevOps Engineer,31,Female,Bachelor,4,130306,256331,126025,96.71465627062453
Software Engineer,34,Female,Bachelor,3,128628,277698,149070,115.89234070342383
DevOps Engineer,50,Other,PhD,7,157436,388384,230948,146.69325948321858
DevOps Engineer,23,Male,PhD,0,167961,451546,283585,168.8397901893892
Data Engineer,64,Female,PhD,26,208486,522306,313820,150.52329652830406
Project Manager,29,Female,Bachelor,6,99767,170416,70649,70.81399661210621
Project Manager,46,Female,Bachelor,0,73735,120106,46371,62.88872313012816
DevOps Engineer,58,Male,PhD,7,165693,391446,225753,136.247759410476
Software Engineer,30,Other,PhD,5,163135,454930,291795,178.8671958807123
Project Manager,32,Female,High School,6,71822,108897,37075,51.62067333129124
Product Manager,57,Female,High School,22,132204,220502,88298,66.78920456264561
Designer,61,Other,Master,14,121526,189812,68286,56.19044484307884
Consultant,31,Male,High School,3,90521,148859,58338,64.44692391820682
Consultant,46,Other,Master,10,148372,297371,148999,100.42258647184106
Business Analyst,55,Other,Bachelor,26,100913,153373,52460,51.9853735395836
Data Engineer,28,Male,Bachelor,3,131915,291456,159541,120.94227343365046
Project Manager,50,Male,High School,10,83758,126995,43237,51.62133766326799
Data Scientist,28,Male,High School,0,112334,211759,99425,88.50837680488543
Software Engineer,43,Female,PhD,7,188455,525539,337084,178.86710355257222
Software Engineer,51,Male,PhD,22,213821,567845,354024,165.57026671842337
Project Manager,53,Female,Master,29,126103,219520,93417,74.07991879653933
Project Manager,22,Female,Master,0,113647,215342,101695,89.48322437019895
Data Scientist,49,Female,Bachelor,16,145164,285559,140395,96.71475021355157
Designer,25,Other,Master,0,108483,181476,72993,67.2851967589392
Business Analyst,53,Other,Master,9,96264,158756,62492,64.91731072882907
Data Scientist,44,Male,PhD,22,194985,481015,286030,146.69333538477318
Data Scientist,29,Male,Master,0,146702,355020,208318,142.0007907185996
Data Engineer,29,Other,PhD,5,181813,522674,340861,187.47889314845474
Product Manager,54,Other,Master,27,162774,332684,169910,104.38399252951946
Data Scientist,53,Female,Master,23,192096,413953,221857,115.49277444611027
DevOps Engineer,42,Male,PhD,13,179369,442491,263122,146.69312980503878
Data Scientist,28,Female,Master,0,139451,337472,198021,142.0004159167019
Data Engineer,40,Male,PhD,3,169269,444054,274785,162.33628130372367
Data Scientist,26,Male,Bachelor,3,124049,260465,136416,109.96944755701377
Data Scientist,33,Other,Master,3,143394,321235,177841,124.02262298283053
Designer,30,Female,PhD,1,128006,216589,88583,69.20222489570801
Data Engineer,43,Female,PhD,11,179287,470335,291048,162.33636571530562
Project Manager,44,Female,Master,16,128860,230768,101908,79.08427751047648
Software Engineer,61,Male,Bachelor,1,119384,248352,128968,108.02787643235274
Business Analyst,43,Female,High School,10,76808,111795,34987,45.551244662014376
Data Scientist,32,Male,Master,5,157231,352233,195002,124.02261640516184
Product Manager,59,Male,Bachelor,33,147716,268936,121220,82.06287741341494
Consultant,33,Female,Bachelor,6,99988,179063,79075,79.08449013881665
Designer,52,Other,High School,5,79007,108573,29566,37.422000582226886
Data Scientist,28,Male,PhD,1,180426,485057,304631,168.83985678339042
Product Manager,23,Female,PhD,1,177104,445055,267951,151.29584876682628
Software Engineer,57,Male,Master,25,178106,426306,248200,139.3552154335059
Project Manager,60,Male,Master,34,146111,254350,108239,74.0799802889584
Business Analyst,43,Female,Master,4,98821,167207,68386,69.20189028647758
DevOps Engineer,56,Other,Master,16,165407,356440,191033,115.4926937795861
Data Scientist,23,Female,High School,0,101641,191601,89960,88.5075904408654
Project Manager,46,Male,High School,10,83204,126155,42951,51.62131628287101
Consultant,24,Other,Master,1,135567,290518,154951,114.29846496566273
Data Engineer,55,Female,Bachelor,11,132169,263049,130880,99.02473348515916
Software Engineer,31,Male,High School,8,117041,225969,108928,93.0682410437368
Project Manager,42,Other,Master,16,130744,234142,103398,79.08431744477758
Designer,29,Female,PhD,0,139135,247762,108627,78.07309447658749
Consultant,53,Female,High School,9,93960,150806,56846,60.500212856534695
Software Engineer,42,Female,Master,6,149171,373069,223898,150.09485757955633
Product Manager,29,Male,Master,1,139159,316963,177804,127.77039214136347
Data Scientist,60,Female,Master,34,181221,390518,209297,115.49268572626792
Business Analyst,52,Female,High School,23,82689,118157,35468,42.89325061374548
Data Scientist,64,Male,Master,39,185262,399226,213964,115.4926536472671
Business Analyst,36,Other,PhD,7,116336,209818,93482,80.35517810479989
Designer,39,Male,High School,0,77827,108726,30899,39.70215991879425
Data Scientist,63,Other,Master,33,166121,357979,191858,115.49292383262801
Business Analyst,39,Male,High School,2,60598,88201,27603,45.55100828410178
DevOps Engineer,50,Female,High School,20,132978,237022,104044,78.24151363383417
Project Manager,31,Other,PhD,8,121179,232866,111687,92.16695962171664
DevOps Engineer,51,Male,High School,16,108114,187361,79247,73.29948017833028
Project Manager,25,Female,Bachelor,1,86677,148056,61379,70.81347993123896
Consultant,36,Male,PhD,8,137150,298849,161699,117.89938024061246
Consultant,58,Other,PhD,36,165511,347361,181850,109.87185141773055
Designer,45,Other,Master,10,132283,211405,79122,59.81267434213014
Data Scientist,25,Other,High School,2,104858,197666,92808,88.5082683247821
Designer,31,Other,High School,1,71986,100566,28580,39.70216430972689
Consultant,24,Female,High School,1,97972,169103,71131,72.60339688890703
Designer,30,Other,Master,2,108143,172826,64683,59.812470525138
Software Engineer,63,Other,High School,34,149799,280138,130339,87.00925907382559
Software Engineer,53,Other,PhD,2,151235,401635,250400,165.57013918735743
Project Manager,46,Other,High School,8,85110,129045,43935,51.621431089178714
Product Manager,62,Other,Bachelor,2,99029,180295,81266,82.06283008007756
Consultant,55,Male,Master,11,119849,232259,112410,93.79302288713298
Project Manager,32,Male,High School,10,78032,118313,40281,51.62112979290547
Designer,26,Other,PhD,1,129588,230762,101174,78.07358706053029
Product Manager,49,Male,PhD,4,168137,389900,221763,131.89422911078466
Data Scientist,53,Male,PhD,29,207620,490498,282878,136.24795299104133
Data Engineer,61,Female,PhD,26,230807,578225,347418,150.52316437543055
Software Engineer,37,Other,Bachelor,7,129831,280295,150464,115.89219831935362
Consultant,46,Other,High School,20,117122,192604,75482,64.44732842676866
Designer,26,Other,PhD,2,143385,255330,111945,78.07302019039648
Consultant,44,Other,Master,9,124535,249596,125061,100.42237122094191
Product Manager,52,Other,Bachelor,17,142165,258830,116665,82.06309569866
Business Analyst,48,Male,Bachelor,16,100184,155582,55398,55.296254891000565
Project Manager,45,Female,Master,12,128215,229613,101398,79.08435050501112
Designer,28,Female,Master,1,115150,192629,77479,67.2852800694746
Data Scientist,51,Other,Master,4,124665,268644,143979,115.49272049091566
DevOps Engineer,25,Female,PhD,2,161718,434762,273044,168.83958495652928
Designer,22,Female,High School,0,73896,106680,32784,44.36505358882754
Project Manager,35,Female,Master,12,120107,215093,94986,79.08448300265597
Data Engineer,33,Male,PhD,6,158774,416522,257748,162.33640268557826
Software Engineer,36,Other,Bachelor,2,118622,256096,137474,115.89249886193119
Business Analyst,55,Female,Bachelor,28,113951,173188,59237,51.98462497038201
Data Engineer,60,Male,High School,14,125872,226616,100744,80.03686284479471
DevOps Engineer,35,Female,PhD,3,165519,408324,242805,146.6931288855056
Data Engineer,65,Female,High School,27,142208,256027,113819,80.03698807380738
Product Manager,40,Female,Master,4,152236,322630,170394,111.92753356630493
Software Engineer,36,Female,Bachelor,1,117684,254070,136386,115.89171000305905
Software Engineer,36,Female,High School,11,126247,243743,117496,93.0683501390132
Project Manager,46,Female,PhD,16,133521,256583,123062,92.16677526381618
Project Manager,28,Other,Master,2,116343,220451,104108,89.48368187170693
Product Manager,24,Female,PhD,1,160994,404571,243577,151.29570046088674
Business Analyst,65,Female,High School,19,84058,120113,36055,42.89300245068881
Designer,43,Male,PhD,21,155610,263295,107685,69.20185078079814
Data Scientist,34,Other,PhD,0,133995,330556,196561,146.6927870442927
Data Scientist,52,Female,Bachelor,5,112363,213910,101547,90.37405551649564
Consultant,62,Female,High School,7,93202,149589,56387,60.499774682946715
Data Engineer,38,Male,PhD,11,207840,545240,337400,162.33641262509624
Designer,31,Male,Bachelor,7,87399,129371,41972,48.02343276238859
Software Engineer,54,Male,Bachelor,12,129556,269513,139957,108.02818858254346
DevOps Engineer,60,Female,Bachelor,1,119103,226741,107638,90.37387807192094
Data Scientist,63,Female,Master,39,196439,423312,226873,115.49285019777132
Data Engineer,30,Female,Master,5,158446,375099,216653,136.7361751006652
Consultant,49,Female,Bachelor,19,129428,231785,102357,79.0841239917174
Business Analyst,43,Female,Master,2,86702,146701,59999,69.20140250513252
Data Scientist,33,Other,Bachelor,8,137086,269668,132582,96.71447120785493
Data Engineer,57,Female,Master,7,163779,372011,208232,127.14206339030034
Product Manager,65,Other,Master,17,145027,296412,151385,104.38401125307702
Data Engineer,53,Male,Bachelor,23,169267,336884,167617,99.02520869395688
Data Engineer,56,Female,PhD,28,213093,533848,320755,150.5234803583412
Software Engineer,51,Male,Master,20,200221,479240,279019,139.35551215906423
Project Manager,25,Male,PhD,3,122680,251088,128408,104.66905771111837
DevOps Engineer,53,Female,PhD,8,164869,389499,224630,136.24756624956785
Product Manager,36,Female,Bachelor,1,115642,217075,101433,87.71294166479306
Business Analyst,33,Other,Bachelor,2,79918,124110,44192,55.296679096073476
Project Manager,54,Other,High School,25,96028,142658,46630,48.55875369683842
Business Analyst,35,Female,Bachelor,1,73051,113445,40394,55.295615391986416
Product Manager,62,Male,Bachelor,13,126057,229503,103446,82.06287631785621
Consultant,60,Female,PhD,5,140860,295626,154766,109.87221354536419
Consultant,56,Female,High School,4,81551,130890,49339,60.50079091611384
Project Manager,44,Male,PhD,14,130904,251554,120650,92.16677870806087
Data Engineer,37,Female,Bachelor,9,136996,282353,145357,106.10309790066863
Consultant,41,Male,High School,7,94211,154927,60716,64.44682680366411
Software Engineer,41,Female,High School,10,130750,252437,121687,93.06845124282984
Product Manager,65,Male,PhD,27,207316,461711,254395,122.70881166914276
Designer,41,Other,PhD,17,168732,285498,116766,69.20204821847665
Consultant,41,Male,Master,0,105384,211213,105829,100.42226523950504
Designer,26,Male,High School,0,79589,114898,35309,44.36417092814334
DevOps Engineer,45,Female,High School,10,103397,184296,80899,78.24114819578905
Consultant,60,Male,Bachelor,30,124429,216606,92177,74.07999742825226
Data Scientist,41,Female,Master,12,155050,347347,192297,124.02257336343115
Data Scientist,29,Other,Bachelor,1,115727,242991,127264,109.96915153767056
Business Analyst,53,Male,PhD,5,113596,199085,85489,75.2570513046234
Designer,22,Female,Master,0,122183,204394,82211,67.28513786697003
Data Scientist,47,Male,Bachelor,7,134544,264668,130124,96.71482934950649
Software Engineer,29,Other,PhD,0,184954,568313,383359,207.27261913773157
Software Engineer,52,Other,High School,15,134204,250974,116770,87.00932908110042
Product Manager,49,Female,High School,1,102129,174864,72735,71.2187527538701
Designer,54,Male,Master,24,147800,230850,83050,56.190798376184034
Consultant,52,Male,High School,8,82029,131657,49628,60.5005546818808
Data Scientist,25,Female,High School,1,105681,199217,93536,88.50786801790294
Data Scientist,62,Male,Bachelor,22,145446,276891,131445,90.37374695763376
Software Engineer,28,Female,PhD,0,175525,539341,363816,207.27303802877083
Software Engineer,28,Female,PhD,6,211533,649984,438451,207.2730968690464
Consultant,53,Male,High School,16,100134,160715,60581,60.49993009367448
Designer,56,Other,Bachelor,7,95151,138161,43010,45.201837080009675
Data Scientist,24,Male,Bachelor,0,129792,272524,142732,109.96979783037474
Data Scientist,50,Male,Bachelor,25,144489,284231,139742,96.71462879527162
Product Manager,36,Male,Bachelor,11,127502,239338,111836,87.71313391162492
Business Analyst,65,Female,Bachelor,20,95554,145228,49674,51.98526487640497
Business Analyst,36,Other,PhD,8,121082,218378,97296,80.35546158801473
Data Engineer,34,Male,Master,5,142526,337410,194884,136.73575347655867
DevOps Engineer,48,Male,PhD,14,191306,471939,280633,146.69325583097236
Project Manager,57,Female,PhD,29,157759,293711,135952,86.17701684214529
Software Engineer,46,Female,High School,10,115440,222878,107438,93.06826056826057
Business Analyst,28,Other,High School,6,72364,109272,36908,51.00326129014427
Project Manager,28,Female,PhD,5,134631,275548,140917,104.66905838922685
Project Manager,34,Female,High School,6,79826,121033,41207,51.62102573096485
Product Manager,47,Male,Bachelor,8,125370,235336,109966,87.71316901970168
Project Manager,63,Male,Bachelor,7,91317,145241,53924,59.05143620574482
Software Engineer,58,Other,Bachelor,3,115397,240058,124661,108.02793833461874
Data Engineer,31,Other,PhD,8,165521,434222,268701,162.33650110862067
DevOps Engineer,26,Male,Bachelor,0,126732,266099,139367,109.96985765236877
Data Scientist,42,Other,High School,16,115482,205837,90355,78.24163073033027
Product Manager,49,Other,Master,6,142437,301863,159426,111.92737841993304
Consultant,46,Male,Bachelor,1,92530,165707,73177,79.08462120393386
Business Analyst,24,Female,High School,1,71910,108587,36677,51.00403281880128
Business Analyst,32,Male,High School,6,69130,100620,31490,45.55185881672212
Data Engineer,59,Female,PhD,31,208999,523591,314592,150.52320824501552
DevOps Engineer,54,Male,PhD,2,143818,339767,195949,136.24789664715126
Software Engineer,62,Female,Master,38,190003,454782,264779,139.35516807629352
Software Engineer,26,Female,PhD,3,182407,560487,378080,207.27274720816635
Product Manager,29,Female,PhD,1,168068,422347,254279,151.2953090415784
Data Engineer,23,Female,Bachelor,0,125893,278151,152258,120.9423875831063
Designer,55,Other,High School,22,96104,132068,35964,37.42195954382752
Project Manager,57,Female,Bachelor,4,78284,124512,46228,59.05165806550509
Consultant,51,Female,Master,24,166956,323549,156593,93.79297539471477
Software Engineer,37,Other,PhD,13,193287,539014,345727,178.8671767889201
Data Engineer,26,Female,PhD,3,200409,576133,375724,187.4786062502183
Software Engineer,42,Female,High School,19,147123,284048,136925,93.06838495680485
Data Scientist,53,Other,PhD,0,144135,340516,196381,136.2479619800881
Designer,35,Female,PhD,3,119181,201656,82475,69.2014666767354
Data Scientist,62,Female,High School,20,122943,213059,90116,73.29900848360622
Consultant,32,Male,High School,2,82249,135256,53007,64.44698415786209
Business Analyst,27,Female,Bachelor,2,92526,149998,57472,62.114432699997835
Designer,63,Male,PhD,11,144448,238219,93771,64.91678666371288
Designer,56,Male,Bachelor,29,125503,182233,56730,45.202106722548464
Designer,35,Other,Master,8,114119,182377,68258,59.813002216984025
Data Engineer,23,Other,Bachelor,0,122606,270888,148282,120.94187886400339
DevOps Engineer,46,Female,Bachelor,1,106032,208580,102548,96.71419948694734
Designer,35,Other,High School,0,73785,103079,29294,39.70183641661584
Designer,24,Male,Bachelor,2,95269,146540,51271,53.81708635547765
Consultant,55,Male,High School,7,87071,139749,52678,60.5000516819607
DevOps Engineer,25,Other,High School,0,103868,195799,91931,88.50752878653677
DevOps Engineer,27,Male,Bachelor,4,118074,247919,129845,109.96917187526466
Data Scientist,40,Other,PhD,18,204561,504638,300077,146.69316243076636
Data Scientist,23,Male,Bachelor,1,135635,284792,149157,109.9694031776459
Project Manager,44,Male,Master,18,121959,218409,96450,79.08395444370649
Product Manager,28,Female,High School,3,108652,196006,87354,80.39796782387808
DevOps Engineer,58,Male,Master,28,185050,398769,213719,115.49256957579033
Designer,58,Female,Master,34,141448,220928,79480,56.190260731859055
Designer,58,Other,Bachelor,21,123977,180017,56040,45.20193261653371
Business Analyst,48,Female,Bachelor,20,96801,150328,53527,55.295916364500364
Product Manager,60,Other,Bachelor,4,101593,184963,83370,82.06274054314765
Product Manager,42,Female,Bachelor,20,158982,298431,139449,87.71370343812507
DevOps Engineer,32,Other,High School,4,107934,192383,84449,78.24133266625901
Business Analyst,25,Female,High School,1,70399,106305,35906,51.00356539155386
Data Scientist,62,Other,PhD,28,198860,469803,270943,136.248114251232
Designer,63,Male,Bachelor,12,92783,134723,41940,45.20224610111766
Software Engineer,62,Male,PhD,0,163407,433960,270553,165.57001842026352
Software Engineer,61,Female,Bachelor,20,173377,360673,187296,108.02816982644757
Business Analyst,43,Other,Bachelor,7,80831,125528,44697,55.29685392980416
Software Engineer,45,Other,PhD,12,186825,520993,334168,178.86685400776128
